SubjectID,Session,Phase,UN,LocalTimestamp
6,3,posttest,6ee3-posttest,1659431309
6,4,pretest,6ee4-pretest,1659520242
6,4,start,6ee4-start,1659520320
6,4,takeoff,6ee4-takeoff,1659520333
6,4,p1,6ee4-p1,1659520359
6,4,p1End,6ee4-p1end,1659520386
6,4,p2,6ee4-p2,1659520401
6,4,p2End,6ee4-p1end,1659520435
6,4,landing,6ee4-landing,1659520450
6,4,posttest,6ee4-posttest,1659520451
7,1,pretest,7ee1-pretest,1659514080
7,1,start,7ee1-start,1659514114
7,1,takeoff,7ee1-takeoff,1659514127
7,1,p1,7ee1-p1,1659514150
7,1,p1End,7ee1-p1end,1659514184
7,1,p2,7ee1-p2,1659514198
7,1,p2End,7ee1-p1end,1659514231
7,1,landing,7ee1-landing,1659514249
7,1,posttest,7ee1-posttest,1659514252
7,2,pretest,7ee2-pretest,1659443241
7,2,start,7ee2-start,1659443247
7,2,takeoff,7ee2-takeoff,1659443289
7,2,p1,7ee2-p1,1659443315
7,2,p1End,7ee2-p1end,1659443344
7,2,p2,7ee2-p2,1659443369
7,2,p2End,7ee2-p1end,1659443406
7,2,landing,7ee2-landing,1659443418
7,2,posttest,7ee2-posttest,1659443425
7,3,pretest,7ee3-pretest,1659433500
7,3,start,7ee3-start,1659433596
7,3,takeoff,7ee3-takeoff,1659433683
7,3,p1,7ee3-p1,1659433697
7,3,p1End,7ee3-p1end,1659433732
7,3,p2,7ee3-p2,1659433743
7,3,p2End,7ee3-p1end,1659433774
7,3,landing,7ee3-landing,1659433804
7,3,posttest,7ee3-posttest,1659433810
7,4,pretest,7ee4-pretest,1659515507
7,4,start,7ee4-start,1659515518
7,4,takeoff,7ee4-takeoff,1659515542
7,4,p1,7ee4-p1,1659515570
7,4,p1End,7ee4-p1end,1659515600
7,4,p2,7ee4-p2,1659515613
7,4,p2End,7ee4-p1end,1659515648
7,4,landing,7ee4-landing,1659515673
7,4,posttest,7ee4-posttest,1659515677
8,1,pretest,8ee1-pretest,1659440848
8,1,start,8ee1-start,1659440855
8,1,takeoff,8ee1-takeoff,1659440866
8,1,p1,8ee1-p1,1659440885
8,1,p1End,8ee1-p1end,1659440915
8,1,p2,8ee1-p2,1659440929
8,1,p2End,8ee1-p1end,1659440954
8,1,landing,8ee1-landing,1659440997
8,1,posttest,8ee1-posttest,1659441000
8,2,pretest,8ee2-pretest,1659513705
8,2,start,8ee2-start,1659513715
8,2,takeoff,8ee2-takeoff,1659513730
8,2,p1,8ee2-p1,1659513753
8,2,p1End,8ee2-p1end,1659513780
8,2,p2,8ee2-p2,1659513805
8,2,p2End,8ee2-p1end,1659513829
8,2,landing,8ee2-landing,1659513849
8,2,posttest,8ee2-posttest,1659513856
8,3,pretest,8ee3-pretest,1659515729
8,3,start,8ee3-start,1659515750
8,3,takeoff,8ee3-takeoff,1659515767
8,3,p1,8ee3-p1,1659515782
8,3,p1End,8ee3-p1end,1659515812
8,3,p2,8ee3-p2,1659515829
8,3,p2End,8ee3-p1end,1659515861
8,3,landing,8ee3-landing,1659515879
8,3,posttest,8ee3-posttest,1659515884
8,4,pretest,8ee4-pretest,1659435067
8,4,start,8ee4-start,1659435071
8,4,takeoff,8ee4-takeoff,1659435118
8,4,p1,8ee4-p1,1659435141
8,4,p1End,8ee4-p1end,1659435168
8,4,p2,8ee4-p2,1659435184
8,4,p2End,8ee4-p1end,1659435219
8,4,landing,8ee4-landing,1659435239
8,4,posttest,8ee4-posttest,1659435243
9,1,pretest,9ee1-pretest,1659513872
9,1,start,9ee1-start,1659513896
9,1,takeoff,9ee1-takeoff,1659513916
9,1,p1,9ee1-p1,1659513948
9,1,p1End,9ee1-p1end,1659513978
9,1,p2,9ee1-p2,1659513997
9,1,p2End,9ee1-p1end,1659514034
9,1,landing,9ee1-landing,1659514040
9,1,posttest,9ee1-posttest,1659514045
9,2,pretest,9ee2-pretest,1659442944
9,2,start,9ee2-start,1659442952
9,2,takeoff,9ee2-takeoff,1659442964
9,2,p1,9ee2-p1,1659443012
9,2,p1End,9ee2-p1end,1659443041
9,2,p2,9ee2-p2,1659443069
9,2,p2End,9ee2-p1end,1659443104
9,2,landing,9ee2-landing,1659443116
9,2,posttest,9ee2-posttest,1659443119
9,3,pretest,9ee3-pretest,1659434667
9,3,start,9ee3-start,1659434673
9,3,takeoff,9ee3-takeoff,1659434705
9,3,p1,9ee3-p1,1659434745
9,3,p1End,9ee3-p1end,1659434779
9,3,p2,9ee3-p2,1659434804
9,3,p2End,9ee3-p1end,1659434831
9,3,landing,9ee3-landing,1659434863
9,3,posttest,9ee3-posttest,1659434866
9,4,pretest,9ee4-pretest,1659515909
9,4,start,9ee4-start,1659515925
9,4,takeoff,9ee4-takeoff,1659515942
9,4,p1,9ee4-p1,1659515969
9,4,p1End,9ee4-p1end,1659515995
9,4,p2,9ee4-p2,1659516014
9,4,p2End,9ee4-p1end,1659516056
9,4,landing,9ee4-landing,1659516057
9,4,posttest,9ee4-posttest,1659516058
