LocalTimestamp,PR
1659431991.801655,167537
1659431991.835484,167536
1659431991.869314,167524
1659431991.913736,167503
1659431991.958159,167473
1659431992.002581,167399
1659431992.041195,167354
1659431992.079808,167358
1659431992.118421,167354
1659431992.160964,167326
1659431992.203507,167315
1659431992.242463,167302
1659431992.281418,167296
1659431992.320373,167302
1659431992.358644,167309
1659431992.396916,167304
1659431992.435188,167296
1659431992.477218,167299
1659431992.519249,167284
1659431992.558204,167248
1659431992.597159,167241
1659431992.636114,167323
1659431992.678145,167316
1659431992.720175,167332
1659431992.758789,167297
1659431992.797402,167209
1659431992.836015,167109
1659431992.874629,167084
1659431992.913242,167069
1659431992.951855,167056
1659431992.992861,167029
1659431993.033866,166986
1659431993.073163,166949
1659431993.11246,166921
1659431993.151757,166924
1659431993.192249,166953
1659431993.232742,166933
1659431993.276823,166950
1659431993.320904,166967
1659431993.364985,166997
1659431993.397789,166953
1659431993.430593,166893
1659431993.475357,166873
1659431993.520122,166878
1659431993.564886,166877
1659431993.598715,166870
1659431993.632545,166902
1659431993.676625,166944
1659431993.720706,166957
1659431993.764787,166975
1659431993.8034,167036
1659431993.842014,167087
1659431993.880627,167131
1659431993.919924,167158
1659431993.959221,167174
1659431993.998517,167164
1659431994.036447,167117
1659431994.074377,167066
1659431994.112307,167026
1659431994.15485,167038
1659431994.197393,167033
1659431994.236007,166987
1659431994.27462,166920
1659431994.313234,166925
1659431994.353726,166930
1659431994.394219,166910
1659431994.433174,166854
1659431994.472129,166853
1659431994.511085,166873
1659431994.553115,166868
1659431994.595145,166911
1659431994.638885,166906
1659431994.682624,166874
1659431994.726363,166872
1659431994.765659,166906
1659431994.804956,166934
1659431994.844253,166951
1659431994.886284,166999
1659431994.928314,167010
1659431994.967269,167008
1659431995.006224,166976
1659431995.045179,166964
1659431995.08721,166941
1659431995.12924,166891
1659431995.168879,166832
1659431995.208517,166827
1659431995.248156,166819
1659431995.286086,166782
1659431995.324016,166742
1659431995.361946,166636
1659431995.403464,166653
1659431995.444982,166672
1659431995.483937,166732
1659431995.522892,166805
1659431995.561847,166853
1659431995.601315,166866
1659431995.640782,166879
1659431995.68025,166885
1659431995.719718,166883
1659431995.759185,166900
1659431995.798653,166897
1659431995.838121,166897
1659431995.877588,166838
1659431995.919363,166783
1659431995.961137,166715
1659431996.002911,166738
1659431996.044685,166810
1659431996.086716,166930
1659431996.128746,167055
1659431996.170777,167124
1659431996.212807,167122
1659431996.251079,167126
1659431996.289351,167133
1659431996.327622,167109
1659431996.366235,167106
1659431996.404849,167072
1659431996.443462,167050
1659431996.482076,167005
1659431996.520689,166958
1659431996.559303,166962
1659431996.603383,167009
1659431996.647464,167045
1659431996.691545,167061
1659431996.730158,167034
1659431996.768772,166979
1659431996.807385,166900
1659431996.845998,166840
1659431996.884612,166818
1659431996.923225,166828
1659431996.965255,166852
1659431997.007286,166860
1659431997.046241,166851
1659431997.085196,166840
1659431997.124151,166822
1659431997.165157,166840
1659431997.206162,166846
1659431997.244776,166849
1659431997.283389,166854
1659431997.322002,166858
1659431997.361299,166862
1659431997.400596,166900
1659431997.439893,166931
1659431997.481923,166953
1659431997.523954,167019
1659431997.564959,167071
1659431997.605964,167118
1659431997.64492,167026
1659431997.683875,166963
1659431997.72283,166919
1659431997.767252,166876
1659431997.811675,166893
1659431997.856097,166908
1659431997.889927,166884
1659431997.923756,166861
1659431997.968179,166828
1659431998.012601,166791
1659431998.057024,166755
1659431998.090853,166704
1659431998.124682,166680
1659431998.168763,166662
1659431998.212844,166670
1659431998.256925,166682
1659431998.296221,166704
1659431998.335518,166729
1659431998.374815,166748
1659431998.416846,166729
1659431998.458876,166732
1659431998.497831,166699
1659431998.536786,166663
1659431998.575741,166687
1659431998.616747,166701
1659431998.657752,166720
1659431998.696365,166739
1659431998.734979,166748
1659431998.773592,166750
1659431998.812206,166756
1659431998.850819,166767
1659431998.889432,166798
1659431998.931463,166780
1659431998.973493,166782
1659431999.012449,166791
1659431999.051404,166801
1659431999.090359,166803
1659431999.131876,166837
1659431999.173394,166848
1659431999.211666,166837
1659431999.249938,166857
1659431999.288209,166838
1659431999.331265,166780
1659431999.374321,166699
1659431999.412934,166687
1659431999.451548,166672
1659431999.490161,166632
1659431999.531166,166614
1659431999.572172,166595
1659431999.616252,166582
1659431999.660333,166564
1659431999.704414,166564
1659431999.743369,166538
1659431999.782324,166521
1659431999.821279,166513
1659431999.859893,166490
1659431999.898506,166451
1659431999.937119,166449
1659431999.978637,166449
1659432000.020155,166458
1659432000.058769,166446
1659432000.097382,166446
1659432000.135995,166434
1659432000.177001,166373
1659432000.218006,166366
1659432000.257645,166373
1659432000.297283,166400
1659432000.336922,166400
1659432000.375535,166408
1659432000.414149,166385
1659432000.452762,166385
1659432000.493767,166391
1659432000.534773,166378
1659432000.574069,166352
1659432000.613366,166345
1659432000.652663,166334
1659432000.694694,166327
1659432000.736724,166335
1659432000.775337,166321
1659432000.813951,166321
1659432000.852564,166315
1659432000.894082,166318
1659432000.9356,166312
1659432000.980364,166289
1659432001.025129,166246
1659432001.069893,166231
1659432001.107823,166237
1659432001.145753,166245
1659432001.183683,166266
1659432001.226226,166280
1659432001.268769,166278
1659432001.307724,166278
1659432001.346679,166269
1659432001.385634,166279
1659432001.427152,166280
1659432001.46867,166295
1659432001.507625,166281
1659432001.54658,166288
1659432001.585535,166295
1659432001.625721,166297
1659432001.665906,166288
1659432001.706091,166293
1659432001.746276,166292
1659432001.786461,166254
1659432001.828492,166218
1659432001.870522,166181
1659432001.909136,166164
1659432001.947749,166192
1659432001.986363,166215
1659432002.024634,166227
1659432002.062906,166231
1659432002.101178,166248
1659432002.143208,166245
1659432002.185239,166255
1659432002.224194,166269
1659432002.263149,166298
1659432002.302104,166320
1659432002.342597,166364
1659432002.38309,166396
1659432002.422045,166413
1659432002.461,166426
1659432002.499955,166410
1659432002.541985,166382
1659432002.584016,166361
1659432002.622971,166328
1659432002.661926,166293
1659432002.700881,166269
1659432002.744962,166233
1659432002.789043,166226
1659432002.833123,166209
1659432002.865928,166226
1659432002.898732,166247
1659432002.942813,166246
1659432002.986893,166241
1659432003.030974,166276
1659432003.073005,166271
1659432003.115035,166252
1659432003.153307,166292
1659432003.191579,166303
1659432003.22985,166314
1659432003.268464,166315
1659432003.307077,166309
1659432003.34569,166311
1659432003.386696,166346
1659432003.427701,166352
1659432003.466656,166347
